artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,popularity,count
kensuke ushio,0.5839038461538462,0.2617953846153846,3.769230769230769,-16.700769230769232,0.75,0.061288461538461535,0.7703062307692308,0.689125,0.11729615384615386,0.33915192307692305,118.10836538461538,3.9615384615384617,119192.71153846153,18.98076923076923,52
Sanam,0.6275999999999999,0.5071800000000001,5.86,-7.90624,0.62,0.035865999999999995,0.5309268,0.0100928254,0.16485399999999997,0.50734,112.19456,3.88,210991.62,48.94,50
Sai Abhyankkar,0.4401428571428571,0.4352142857142857,6.428571428571429,-10.583499999999999,0.5,0.05406428571428572,0.7015,0.3424169214285714,0.14578571428571427,0.3708214285714285,106.29471428571428,3.7857142857142856,156040.5,59.57142857142857,14
Shashwat Sachdev,0.685,0.6776666666666666,6.833333333333333,-7.7372499999999995,0.5833333333333334,0.100675,0.19173408333333333,0.02930207,0.15615833333333332,0.4618333333333333,126.34100000000001,3.9166666666666665,244324.0,59.916666666666664,12
Ritviz,0.6029,0.5849,4.5,-8.1779,0.5,0.1111,0.1240502,0.0668566,0.21625999999999998,0.45199,110.37899999999999,4.0,184785.1,46.5,10
R. D. Burman,0.6039,0.44820000000000004,5.9,-8.8682,0.6,0.03395,0.609004,0.001360926,0.11494,0.48369999999999996,120.3471,3.8,227031.5,53.7,10
Sayfalse,0.6398,0.9061999999999999,2.9,-1.241,0.4,0.10661000000000001,0.216258,0.16925928099999998,0.22212,0.40259999999999996,123.1165,3.9,99568.4,59.2,10
Dj Samir,0.6114444444444445,0.890888888888889,4.111111111111111,-2.6092222222222223,0.1111111111111111,0.04628888888888889,0.10108888888888888,0.09641625555555555,0.19555555555555557,0.4434444444444445,111.20266666666667,4.0,93956.66666666667,69.33333333333333,9
Aditya Rikhari,0.6367777777777778,0.37866666666666665,5.444444444444445,-10.722777777777777,0.3333333333333333,0.08102222222222223,0.6174444444444445,0.0003239244444444444,0.12696666666666667,0.4735555555555556,123.99544444444444,3.7777777777777777,179578.55555555556,65.33333333333333,9
Mitraz,0.6945,0.571625,5.125,-8.086500000000001,0.5,0.041475,0.2558375,0.08920659249999999,0.10276249999999999,0.4117875,114.0035,4.0,181876.625,60.125,8
MXZI,0.67125,0.882,3.625,-3.40525,0.375,0.056937499999999995,0.11031250000000001,0.03850159875,0.1901125,0.608625,119.61275,4.0,86216.375,70.625,8
SEKIMANE,0.7511428571428571,0.8624285714285714,6.285714285714286,-1.7228571428571426,0.42857142857142855,0.11625714285714286,0.24331428571428573,0.03773113857142857,0.24412857142857142,0.6614285714285714,117.74114285714286,4.0,97783.28571428571,67.71428571428571,7
Prateek Kuhad,0.6867142857142857,0.3291428571428571,4.714285714285714,-11.239,1.0,0.0402,0.6423571428571428,0.04702748285714286,0.13907142857142857,0.43985714285714284,110.107,3.2857142857142856,205710.42857142858,55.57142857142857,7
Rokudenashi,0.6143333333333333,0.6088333333333333,4.666666666666667,-5.455333333333333,1.0,0.03295,0.39303666666666665,6.1705e-05,0.17300000000000001,0.6718333333333333,152.4725,4.0,187911.16666666666,56.333333333333336,6
DYSMANE,0.5991666666666666,0.9423333333333334,7.333333333333333,0.305,0.3333333333333333,0.05985000000000001,0.06568666666666667,0.08855,0.22978333333333334,0.34850000000000003,116.35066666666667,4.0,114815.0,68.16666666666667,6
Anumita Nadesan,0.5508333333333334,0.38633333333333336,4.333333333333333,-9.600666666666667,1.0,0.05745,0.7091666666666666,0.006144898333333333,0.14266666666666666,0.3443333333333333,124.48166666666668,3.8333333333333335,209312.0,40.5,6
Nakama,0.7111666666666667,0.8003333333333332,3.3333333333333335,-2.1705,0.3333333333333333,0.036616666666666665,0.22851333333333335,0.020547176666666667,0.16803333333333334,0.6243333333333333,134.23716666666667,4.0,88890.16666666667,70.66666666666667,6
Lata Mangeshkar,0.3456666666666666,0.37116666666666664,3.1666666666666665,-11.445500000000001,0.5,0.041166666666666664,0.8744999999999999,0.008814316666666667,0.1627333333333333,0.5866666666666667,135.975,3.1666666666666665,262318.6666666667,55.833333333333336,6
