year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,popularity,count
0,0.703,0.982,4.0,-3.466,1.0,0.118,0.394,0.000939,0.109,0.697,110.03,4.0,0.0,0.0,1
1961,0.45366666666666666,0.27799999999999997,5.0,-12.779666666666666,0.6666666666666666,0.05216666666666667,0.8806666666666666,0.040415040000000006,0.10086666666666666,0.48633333333333334,146.18166666666667,3.6666666666666665,194145.33333333334,56.333333333333336,3
1963,0.446,0.359,3.0,-8.081,1.0,0.0515,0.949,6.69e-05,0.304,0.842,178.417,3.0,286866.0,69.0,1
1971,0.4395,0.5225,2.5,-6.939,1.0,0.035750000000000004,0.856,3.1e-06,0.322,0.5045,94.743,4.0,273299.5,63.0,2
1973,0.508,0.402,1.0,-10.487,1.0,0.0371,0.625,9.29e-06,0.112,0.508,120.954,4.0,329066.0,64.0,1
1975,0.272,0.305,0.0,-13.119,0.0,0.0363,0.743,0.000105,0.0594,0.354,140.573,3.0,336614.0,43.0,1
1976,0.378,0.146,6.0,-15.412,1.0,0.0403,0.897,1.62e-05,0.122,0.178,138.649,3.0,312080.0,67.0,1
1979,0.376,0.462,1.0,-9.545,0.0,0.0335,0.823,0.004,0.122,0.736,106.954,3.0,216373.0,64.0,1
1981,0.5425,0.42200000000000004,5.5,-13.623999999999999,1.0,0.033600000000000005,0.47100000000000003,0.0580125,0.125,0.5445,100.729,3.5,275106.5,69.5,2
1982,0.354,0.272,2.0,-13.642,1.0,0.0293,0.907,0.615,0.0848,0.262,90.566,4.0,291066.0,64.0,1
1995,0.562,0.59,7.0,-6.732,0.0,0.0322,0.32,7.92e-05,0.0752,0.552,185.916,4.0,372661.0,59.0,1
1996,0.411,0.648,2.0,-12.143,1.0,0.115,0.736,0.000143,0.704,0.44,127.556,4.0,464200.0,52.0,1
2000,0.456,0.757,2.0,-4.856,1.0,0.0304,0.031,0.0543,0.373,0.288,133.871,4.0,266200.0,65.0,1
2001,0.583,0.888,11.0,-9.414,0.0,0.0349,0.191,4.58e-05,0.0936,0.706,93.206,4.0,203600.0,87.0,1
2005,0.666,0.371,11.0,-8.471,1.0,0.0274,0.502,4.55e-05,0.211,0.468,100.258,4.0,300306.0,51.0,1
2006,0.554,0.7725,3.5,-6.9615,1.0,0.07024999999999999,0.5615,7.75e-05,0.09,0.732,117.9095,4.0,352613.0,60.0,2
2007,0.505,0.671,6.5,-6.352,0.5,0.0451,0.28600000000000003,1.675e-06,0.23399999999999999,0.41505,123.5575,4.0,270600.0,71.5,2
2008,0.625,0.6086666666666667,5.0,-7.672000000000001,0.6666666666666666,0.04750000000000001,0.2623333333333333,0.00017816333333333333,0.10396666666666667,0.7080000000000001,104.91066666666666,4.333333333333333,308200.6666666667,51.666666666666664,3
2009,0.593,0.528,7.0,-7.173,1.0,0.0266,0.409,0.000326,0.327,0.406,80.056,4.0,252573.0,72.0,1
2010,0.511,0.767,2.0,-5.699,1.0,0.0524,0.651,0.0,0.153,0.463,79.923,4.0,289560.0,72.0,1
2011,0.64125,0.502,3.25,-8.52375,0.75,0.033775,0.55675,0.007808575000000001,0.108525,0.5700000000000001,102.77624999999999,4.0,250776.25,73.75,4
2012,0.5395,0.6697500000000001,5.25,-6.31825,1.0,0.05545,0.442625,0.000204475,0.12445,0.621,82.4385,4.0,311879.75,56.75,4
2013,0.62675,0.5914999999999999,4.75,-8.801,1.0,0.051375,0.5005000000000001,0.097135,0.100525,0.53315,119.9985,3.75,307266.5,64.0,4
2014,0.5419,0.4332,4.2,-7.799899999999999,0.4,0.03453,0.58946,0.005526898,0.14109,0.4196,115.03040000000001,3.6,267342.7,52.4,10
2015,0.601625,0.588375,5.75,-6.614,0.75,0.045524999999999996,0.346175,0.00115644,0.1612875,0.498125,136.238875,3.75,223927.75,59.5,8
2016,0.6242,0.6143,5.5,-8.267700000000001,0.8,0.05495,0.37117330000000004,0.141517532,0.14352,0.44399,112.9781,4.0,243923.9,36.8,10
2017,0.58475,0.49025,6.75,-8.512,0.75,0.0445,0.5824,2.3489999999999997e-05,0.1924375,0.33999999999999997,105.36175,3.625,288723.0,45.375,8
2018,0.6072000000000001,0.4829333333333333,5.6,-9.6914,0.8,0.06865333333333333,0.49868,0.01719890866666667,0.17113333333333333,0.4811333333333333,119.7276,3.6666666666666665,246763.6,50.06666666666667,15
2019,0.63532,0.64292,6.32,-6.8355999999999995,0.68,0.061335999999999995,0.30726568,0.0064499748,0.196748,0.536516,117.26216000000001,3.88,217263.72,45.44,25
2020,0.5778805970149254,0.5100507462686568,4.82089552238806,-9.02179104477612,0.7761194029850746,0.05371940298507463,0.5334611940298508,0.022425147164179104,0.16486716417910446,0.43,116.32080597014925,3.701492537313433,247570.07462686568,34.46268656716418,67
2021,0.5888333333333333,0.5224727272727272,4.606060606060606,-9.348227272727271,0.8484848484848485,0.06321060606060606,0.4746273939393939,0.10569580560606061,0.16750454545454546,0.45415151515151514,125.19639393939393,3.878787878787879,203718.0,37.71212121212121,66
2022,0.5953684210526317,0.5384105263157895,5.705263157894737,-8.31598947368421,0.7052631578947368,0.06794,0.4312780547368421,0.073811324,0.14481894736842105,0.4341231578947369,118.35772631578948,3.778947368421053,218180.90526315788,42.242105263157896,95
2023,0.5806333333333333,0.5302222222222223,4.8,-8.36791111111111,0.7111111111111111,0.055556666666666664,0.5250648888888889,0.06783170200000001,0.17541777777777778,0.48060111111111115,120.47850000000001,3.8,191901.34444444443,50.766666666666666,90
2024,0.622709219858156,0.5041940425531914,4.723404255319149,-10.132624113475178,0.6808510638297872,0.07766737588652482,0.5242210070921985,0.36646192709219855,0.15884964539007093,0.43444326241134756,122.70131914893616,3.900709219858156,155209.5035460993,46.780141843971634,141
2025,0.6380568181818181,0.7218238636363636,5.471590909090909,-5.303676136363636,0.4943181818181818,0.07655284090909091,0.30517785113636364,0.206659804375,0.20457102272727273,0.4824215909090909,120.53773863636364,3.897727272727273,134168.23863636365,63.03409090909091,176
2026,0.6515148514851485,0.7515247524752475,5.02970297029703,-4.999386138613861,0.6138613861386139,0.08361980198019803,0.2013150099009901,0.15127789455445545,0.19053366336633665,0.4614821782178217,122.41045544554456,3.9702970297029703,152742.41584158415,62.65346534653465,101
