Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2y7fdOLYBFFbuuMs96KndV,"Par Chanaa De","Coke Studio: Season 9","Shilpa Rao;Noori",2022-07-05,666000,63,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:19:47Z,"bollywood,hindi pop,desi,sufi,qawwali,ghazal,hindi indie","Mainstage Productions",0.49,0.624,0,-5.597,1,0.034,0.279,0,0.206,0.171,155.961,4
spotify:track:7J2YEpZ1fIodpfsZqSY6wK,"Chaap Tilak","Wajd, Vol. 1","Hadiqa Kiani",2017-09-14,404001,53,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:20:02Z,"qawwali,sufi,ghazal,desi","Hadiqa Kiani",0.445,0.687,1,-7.592,0,0.14,0.862,0.0000143,0.231,0.368,90.956,4
spotify:track:7h5jBU18CqXNhDUKRr6y7h,"Ae Re Sakhi","Ae Re Sakhi","Namita Choudhary",2021-02-08,222123,44,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:21:55Z,"indian indie,sufi,hindi indie,ghazal","Pehchan Music",0.591,0.301,2,-10.946,1,0.0477,0.911,0,0.0947,0.29,146.02,4
spotify:track:0XCtRvfDHT98h0iUSDFtyO,"Chaap Tilak","Chaap Tilak","Namita Choudhary",2020-12-10,194821,49,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:21:55Z,"indian indie,sufi,hindi indie,ghazal","Pehchan Music",0.544,0.38,6,-8.339,1,0.0318,0.859,0,0.0762,0.149,84.267,4
spotify:track:7vbwRFf4lcGq2SFNRbly3c,"Dil-e-Nadaan","A Suitable Boy (Original Television Soundtrack)","Kavita Seth",2020-10-23,382000,0,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:21:55Z,"bollywood,hindi indie,hindi pop,indian indie,ghazal,desi,sufi","Silva Screen Records Ltd",0.369,0.533,7,-8.336,1,0.0376,0.572,0.00000143,0.283,0.471,92.29,4
spotify:track:2B6uLeBwpBVBLu1xaXyoG5,"Matwari","Matwari","Samahita Narang",2020-08-19,200000,28,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:21:55Z,"indian indie,hindi indie","Samahita Narang",0.632,0.537,0,-9.043,1,0.0261,0.299,0.419,0.106,0.0942,129.983,3
spotify:track:3H1vNEDvVDLEqzLbubsrpL,"Radhe (From Songs of Faith)","Radhe (From Songs of Faith)","Amit Trivedi;Shellee;Neeraj Arya;Arunima Bhattacharya",2020-04-22,218307,10,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:21:55Z,"bollywood,hindi pop,gujarati garba,desi,bhajan","Amit Trivedi Azaad",0.673,0.806,7,-7.653,1,0.0636,0.544,0.00265,0.529,0.767,129.996,4
spotify:track:1rDjwexewf4hrdZT7SRNsH,"Nasha (Equals Sessions)","Nasha (Equals Sessions) - Single","Faridkot;Amar Jalal",2019-10-25,287573,49,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:21:55Z,"indian indie,hindi indie","Anahad Foundation",0.78,0.46,6,-7.516,1,0.0851,0.455,0.000141,0.061,0.788,124.007,4
spotify:track:7a2juqZ6j3kJCFWNSjeJRT,"Jag Baurana","Jag Baurana","Aabhas - Shreyas;Indie Routes",2022-12-20,352048,24,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:21:55Z,"bhajan,sufi,hindi indie,indian indie","Aabhas - Shreyas",0.57,0.455,4,-7.531,1,0.0458,0.636,0.0000067,0.109,0.708,117.744,3
spotify:track:0QOJABRwcIx5WfzILs47eJ,"Latthay Di Chaadar","Latthay Di Chaadar - Single","Hari & Sukhmani",2018-12-24,215632,40,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:21:55Z,"indian indie,hindi indie,sufi","Hari & Sukhmani",0.517,0.234,0,-16.978,1,0.109,0.879,0.000211,0.0694,0.523,128.127,4
spotify:track:24tI4KfHROiG1cZNPerXWo,"Samjhe Na","Samjhe Na","Amit Trivedi;Shellee;Mame Khan;Ruchika Chauhan",2022-08-10,197277,5,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:21:55Z,"bollywood,hindi pop,gujarati garba,desi,sufi,indian indie","Amit Trivedi Azaad",0.935,0.483,8,-8.266,0,0.176,0.401,0.00106,0.0949,0.692,100.028,4
spotify:track:41QZCU6T0iot2umBYIlJLn,"Ekla Cholo Re","Ekla Cholo Re","Paroma Dasgupta",2020-03-02,233760,0,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:21:55Z,"bangla pop","Paroma Dasgupta",0.579,0.233,10,-14.276,1,0.0321,0.927,0.00202,0.097,0.266,104.922,3
spotify:track:4ibRGHSHOS6D08Im4bLaYD,"Maye Ni Meriye","Maye Ni Meriye","Britto Khangchian",2020-12-17,265728,1,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:21:55Z,"qawwali,ghazal","Songdew",0.36,0.336,4,-7.763,1,0.0291,0.808,0.0000638,0.223,0.216,92.597,4
spotify:track:3sCM3fyhfyWCuhSOSCiG6u,"Umeed","Umeed","Alif",2019,291340,11,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:21:55Z,"sufi,indian indie,hindi indie,qawwali","Springboard Records",0.67,0.676,7,-7.829,1,0.0352,0.259,0.016,0.277,0.357,129.315,4
spotify:track:4sVsPVWeoALxXeJ8rof2bN,"Pagdandi","Pagdandi","Nyasa;Gaurav Chati",2021-10-25,190714,9,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:21:55Z,"indian indie,hindi indie,folk,marathi pop,bhajan,devotional","Springboard Records",0.78,0.697,9,-5.831,1,0.0542,0.756,0.00000712,0.102,0.59,112.023,4
spotify:track:5Tdp1xw2qDoG14cF0DLEL0,"Runak Jhunak","Runak Jhunak","Kanika",2021-10-22,190539,31,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:21:55Z,"hindi indie,indian indie","Warner Music India",0.465,0.497,0,-6.724,1,0.0486,0.378,0,0.122,0.365,130.532,5
spotify:track:4ARRU7JHxKzE89rPPXcsmh,"Natkhat Nadiya","Songs Of The River - Ganga","Shantanu Moitra;Taba Chake;Maati Baani",2022-08-22,339000,19,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:21:55Z,"bollywood,bhajan,indian indie,hindi indie","Shantanu Moitra",0.544,0.624,2,-7.631,1,0.0409,0.431,0.0000154,0.105,0.43,159.902,4
spotify:track:5VPmgcbmfHZc8ZvdqTEC86,"Dhol","Dhol","Amit Trivedi;Asees Kaur;Aamir Mir",2022-09-15,208650,0,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:21:55Z,"bollywood,hindi pop,gujarati garba,desi,gujarati pop,ghazal","Amit Trivedi Azaad",0.637,0.62,6,-6.957,1,0.236,0.461,0.0105,0.0968,0.824,189.055,3
