Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5nQA7m7xypeL7dFaGRwJO5,"Timro Pratiksa","Timro Pratiksa","Shallum Lama",2023-11-29,241616,60,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-14T16:59:07Z,"","Sony Music Entertainment India Pvt. Ltd.",0.526,0.315,2,-13.191,1,0.0322,0.514,0.00000479,0.152,0.199,145.011,3
spotify:track:5EuI6Zyz3kuFiv4JLhhbR1,"Phool Oonko Sweater","Phool Oonko Sweater","Sujan Chapagain;ArtMandu",2024-02-15,302015,57,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-17T04:18:13Z,"","ArtMandu",0.356,0.284,7,-12.388,1,0.0307,0.856,0.000123,0.148,0.336,139.272,3
spotify:track:3X8brnRnXeUWvNEfWObbYI,"Oonko Sweater","Unko Sweater: The Woolen Sweater","Kobid Bazra;Bikesh Bazra;Deepson Putuwar;Kriti Nepali;Artmandu",2025-06-02,104307,5,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-17T04:20:05Z,"","Naad Music Group",0.385,0.203,7,-12.635,1,0.0355,0.906,0.577,0.242,0.322,119.496,3
spotify:track:7uMH7xm3izX8QDImcZcGO1,"Bumro","Notebook","Kamaal Khan",2019-03-08,201549,44,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-17T04:34:28Z,"bollywood","T-Series",0.687,0.925,10,-4.825,1,0.111,0.514,0,0.321,0.857,132.944,4
spotify:track:606UwPF1MMoE220tv9ITut,"Bhikhaari","Bhikhaari","Oasis Thapa",2023-06-10,212800,59,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-19T02:37:23Z,"","Oasis Thapa",0.574,0.211,3,-14.641,1,0.0295,0.912,0.000293,0.113,0.557,130.344,3
spotify:track:6ROaRGDkFPTRkDa68JV5Am,"Bagaicha Ma","Bagaicha Ma","Subodh KC",2024-09-09,192170,50,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-19T02:37:29Z,"","Audio Sound",0.487,0.128,7,-16.812,1,0.0447,0.715,0.0000012,0.0916,0.312,91.074,4
spotify:track:395JBsYNNT60jOUDrkoUec,"Priya Phool","Unko Sweater: The Woolen Sweater","Kobid Bazra;Bikesh Bazra;Deepson Putuwar;Kriti Nepali;Sujan Chapagain",2025-06-02,176889,37,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-28T10:54:33Z,"","Naad Music Group",0.246,0.232,7,-14.132,1,0.0298,0.74,0.748,0.0721,0.141,137.003,3
spotify:track:2Glr3HhyB8KLChU10qWAFk,"Kafle","Kafle","Jhuma Limbu",2025-04-11,221538,51,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:39:12Z,"","Jhuma Limbu",0.698,0.414,7,-9.321,1,0.0444,0.822,0,0.346,0.347,129.824,4
spotify:track:6ks7ANL4XwxwrAIcTODGo6,"Chainejo Jindaganima - From(""Oonko Sweater[The Woolen Sweater]"")","Chainejo Jindaganima","Sujan Chapagain;ArtMandu;Salina Bk",2025-05-11,263863,55,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:39:27Z,"","Artmandu Nepal",0.467,0.646,5,-10.382,1,0.0814,0.646,0.00000672,0.111,0.599,175.823,3
spotify:track:6IiWjepMqnEk8TFNHPH4VK,"Mathi Mathi Pantharai ma - From "" Oonko Sweater[The Woolen Sweater]""","Mathi Mathi Pantharai ma (From "" Oonko Sweater[The Woolen Sweater]"")","Sujan Chapagain;ArtMandu",2024-12-26,81562,42,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-08T04:39:39Z,"","ArtMandu",0.314,0.135,5,-16.592,1,0.0421,0.904,0.00000129,0.118,0.353,118.025,4
spotify:track:7iomJ39If7lmWmHVW97sSq,"Makhamali - From "" Oonko Sweater[The Woolen Sweater]""","Makhamali (From "" Oonko Sweater[The Woolen Sweater]"")","Sujan Chapagain;ArtMandu;Sunita Thegim",2024-12-26,306000,57,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-15T03:27:19Z,"","ArtMandu",0.378,0.411,5,-10.757,1,0.0326,0.67,0.00000378,0.0856,0.414,84.486,4
spotify:track:0ZBEsHnU3wGuah9XlElxmj,"Saino साइनो (Official Audio)","Saino साइनो (Official Audio)","Bakemono Gurung",2025-10-02,228891,50,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-15T03:27:21Z,"","BakemonoG",0.492,0.329,6,-9.494,1,0.0348,0.856,0.00000222,0.0842,0.274,150.161,3
spotify:track:2yTIFb9JKmzJmrcTkbKB1t,"Radha","Radha","Swoopna Suman;Abhigya Ghimire",2025-04-28,351298,52,false,315aj5ynxzdosgt33gykrn6z74oe,2026-04-15T03:27:22Z,"","Swoopna Suman",0.475,0.44,3,-10.042,1,0.043,0.853,0.00000314,0.152,0.332,167.947,3
