Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3JlCtKzdOP25gelnwMI9RF,"Zindagi Kaisi Hai Paheli","Anand","Manna Dey;Salil Chowdhury",1971-05-03,209213,60,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:29:24Z,"bangla pop,ghazal,qawwali,bhajan","Saregama India Ltd",0.358,0.621,0,-6.486,1,0.0368,0.86,0.00000512,0.343,0.525,98.135,4
spotify:track:3Cvffch2HPvomPpMYXWjvO,"Lag Ja Gale Se Phir","Lata Surili Phuljhadi","Lata Mangeshkar",2021-10-26,257613,67,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:29:24Z,"ghazal,bollywood,hindi pop,bhajan,marathi pop","Saregama India Ltd",0.312,0.452,8,-11.872,1,0.0391,0.796,0.000874,0.286,0.391,132.485,3
spotify:track:747xb33Nv17zfV4L0hOsHf,"Yeh Raaten","Julie (Original Motion Picture Soundtrack)","Lata Mangeshkar",1975-04-18,336614,43,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:29:24Z,"ghazal,bollywood,hindi pop,bhajan,marathi pop","Universal Music India Pvt Ltd.",0.272,0.305,0,-13.119,0,0.0363,0.743,0.000105,0.0594,0.354,140.573,3
spotify:track:6mhRdDoAN5N4xv9kcUgTDW,"Abhi Na Jao Chhod Kar","Dev - 100 Not Out - Romance","Asha Bhosle;Mohammed Rafi",2023-09-26,255026,56,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:29:24Z,"ghazal,marathi pop,bangla pop,bollywood,hindi pop","Saregama India Ltd",0.521,0.421,3,-9.856,1,0.0355,0.607,0.187,0.329,0.551,96.444,3
spotify:track:4n8b9euCV1LPbu7upnARpc,"Aaja Sanam Madhur Chandni Men","Chanda Re - Over the Moon","Lata Mangeshkar;Manna Dey",2023-08-24,265743,46,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:29:24Z,"ghazal,bollywood,hindi pop,bhajan,marathi pop,bangla pop,qawwali","Saregama India Ltd",0.32,0.439,3,-11.324,0,0.0422,0.95,0.0426,0.104,0.796,81.706,3
spotify:track:6MZCYPT3hZPzwJGLnXn1RF,"Bade Achhe Lagte Hain","Balika Badhu","Amit Kumar;R. D. Burman",1976-03-15,312080,67,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:29:24Z,"bollywood,ghazal,hindi pop","Saregama India Ltd",0.378,0.146,6,-15.412,1,0.0403,0.897,0.0000162,0.122,0.178,138.649,3
spotify:track:086QwUtJ8RkXkpiyPEpPPO,"Jane Kahan Mera Jigar Gaya Ji","Vintage Melody Geeta Dutt","Geeta Dutt;Mohammed Rafi",2023-08-29,218373,45,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:29:24Z,"ghazal","Saregama India Ltd",0.917,0.532,6,-5.145,1,0.059,0.877,0,0.0751,0.977,121.316,4
spotify:track:0HI3O9uCBWtu7B3boRpCaL,"Pal Pal Dil Ke Paas - From ""Blackmail""","Blackmail (Original Motion Picture Soundtrack)","Kishore Kumar",1973-01-01,329066,64,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:29:24Z,"ghazal,bangla pop,hindi pop","Universal Music India Pvt Ltd.",0.508,0.402,1,-10.487,1,0.0371,0.625,0.00000929,0.112,0.508,120.954,4
spotify:track:66KBRmenGEJkTKtbTWl7tS,"Tum Ko Dekha To Yeh Khayal Aaya","Saath Saath","Jagjit Singh;Chitra Singh",1982-04-03,291066,64,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:29:24Z,"ghazal,bhajan,qawwali,sufi,devotional","Saregama India Ltd",0.354,0.272,2,-13.642,1,0.0293,0.907,0.615,0.0848,0.262,90.566,4
spotify:track:5kfrsmxW4UkaQKA1lcnyrJ,"Ehsan Tera Hoga Mujh Par - Lata Mangeshkar","Junglee","Lata Mangeshkar",1961-01-01,210703,46,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:29:24Z,"ghazal,bollywood,hindi pop,bhajan,marathi pop","Saregama India Ltd",0.348,0.21,4,-14.732,1,0.0444,0.986,0.00524,0.101,0.401,175.715,4
