Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1ccZZf0IQi5y0bHMl2aGDF,"Gulabi Aankhen","Universally SANAM","Sanam",2019-08-09,197759,75,false,315aj5ynxzdosgt33gykrn6z74oe,2026-07-29T14:12:24Z,"hindi pop,desi pop","Universal Music India Pvt Ltd.",0.636,0.647,0,-6.97,0,0.0436,0.422,0,0.251,0.44,105.914,4
spotify:track:1ApfHqjOoBmJZ0SjdjzVyA,"Yeh Raaten Yeh Mausam","Yeh Raaten Yeh Mausam - Sanam And Simran Shgal","Sanam;Simran Sehgal",2014-11-30,208943,67,false,315aj5ynxzdosgt33gykrn6z74oe,2026-07-29T14:12:24Z,"hindi pop,desi pop","Saregama India Ltd",0.692,0.319,5,-7.743,0,0.0327,0.895,0.00000178,0.108,0.658,151.069,3
spotify:track:3WVtOC0yQGiifTSeESXIrw,"O Mere Dil Ke Chain","O Mere Dil Ke Chain - Sanam","Sanam;R. D. Burman",2015-06-30,202622,65,false,315aj5ynxzdosgt33gykrn6z74oe,2026-07-29T14:12:24Z,"hindi pop,desi pop,ghazal,bollywood","Saregama India Ltd",0.784,0.639,11,-7.309,0,0.0383,0.217,0.00000164,0.0899,0.705,122.006,4
spotify:track:3MPHub8AYXBHMEqJa4yrGc,"Mere Mehboob Qayamat Hogi","Mere Mehboob Qayamat Hogi - Sanam","Sanam;Laxmikant–Pyarelal",2015-06-30,241132,64,false,315aj5ynxzdosgt33gykrn6z74oe,2026-07-29T14:12:24Z,"hindi pop,desi pop,ghazal","Saregama India Ltd",0.703,0.578,11,-6.314,0,0.0285,0.156,0.00000122,0.437,0.562,105.933,4
spotify:track:733B0eINqwUqzV49kNRPPA,"Lag Ja Gale","Lag Ja Gale - Sanam","Sanam",2014-07-15,240953,63,false,315aj5ynxzdosgt33gykrn6z74oe,2026-07-29T14:12:24Z,"hindi pop,desi pop","Saregama India Ltd",0.393,0.32,8,-8.648,1,0.0303,0.857,0.0000109,0.0917,0.457,135.026,3
spotify:track:48ZZ4P71WmMID03EmZGe23,"Tujhse Naraz Nahi Zindagi","Tujhse Naraz Nahi Zindagi - Sanam","Sanam;R. D. Burman",2014-10-31,237695,59,false,315aj5ynxzdosgt33gykrn6z74oe,2026-07-29T14:12:24Z,"hindi pop,desi pop,ghazal,bollywood","Saregama India Ltd",0.69,0.266,8,-9.693,1,0.0263,0.929,0.00953,0.112,0.453,102.025,4
spotify:track:2Q6Eo7zJ3woi7oVUkfDt1W,"Aap Ki Nazron Ne Samjha","Aap Ki Nazron Ne Samjha - Sanam","Sanam",2014-09-30,186737,58,false,315aj5ynxzdosgt33gykrn6z74oe,2026-07-29T14:12:24Z,"hindi pop,desi pop","Saregama India Ltd",0.362,0.361,1,-5.497,0,0.0296,0.816,0,0.138,0.484,93.463,1
spotify:track:0gWQyG8QoBmB3HmvGugBWH,"Hai Apna Dil To Aawara","Hai Apna Dil To Aawara - Sanam","Sanam;S. D. Burman",2016-03-31,200689,56,false,315aj5ynxzdosgt33gykrn6z74oe,2026-07-29T14:12:24Z,"hindi pop,desi pop,ghazal","Saregama India Ltd",0.745,0.605,9,-7.091,1,0.0299,0.0267,0,0.098,0.963,115.942,4
spotify:track:6S6igJi5j9FP1JVzl9EVqu,"Dil Kya Kare","Universally SANAM","Sanam",2019-08-09,209108,53,false,315aj5ynxzdosgt33gykrn6z74oe,2026-07-29T14:12:24Z,"hindi pop,desi pop","Universal Music India Pvt Ltd.",0.763,0.534,10,-6.12,0,0.0544,0.155,0,0.147,0.836,100.963,4
spotify:track:5Mv7UmRWMUyQrOULQk3f39,"Likhe Jo Khat Tujhe","Sanam - Likhe Jo Khat Tujhe","Sanam",2020-05-04,203785,54,false,315aj5ynxzdosgt33gykrn6z74oe,2026-07-29T14:12:24Z,"hindi pop,desi pop","Saregama India Ltd",0.834,0.335,0,-10.636,0,0.0376,0.556,0.00000747,0.145,0.708,108.032,4
