Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1zzejMGRYKP5XOa3FmzXfa,"Katchi Sera - From ""Think Indie""","Katchi Sera (From ""Think Indie"")","Sai Abhyankkar",2024-01-22,181818,72,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:10:07Z,"tamil indie,tamil pop,kollywood","Think Music",0.765,0.642,7,-8.48,0,0.115,0.243,0.00104,0.339,0.822,148.465,3
spotify:track:4H1FLy4H7nS9wy9gg9JeFQ,"Unakku Thaan - From ""Chithha""","Unakku Thaan (From ""Chithha"")","Santhosh Narayanan;Dhvani Kailas;Vivek",2023-09-22,216214,58,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:10:38Z,"tamil pop,kollywood,tamil hip hop,tamil dance","Think Music",0.578,0.389,1,-5.439,0,0.0304,0.875,0.00000128,0.0973,0.559,139.64,3
spotify:track:0MTdYgTZ25sLCO6kVnDoje,"Aasa Kooda - From ""Think Indie""","Aasa Kooda (From ""Think Indie"")","Sai Abhyankkar;Sai Smriti",2024-06-13,215510,74,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:10:53Z,"tamil indie,tamil pop,kollywood","Think Music",0.675,0.537,5,-9.401,1,0.0352,0.48,0.00112,0.12,0.534,98.003,4
spotify:track:4Equ5LEIUjA1pKLprqfF9n,"Kutty Kudiye (From ""Premalu"")","Kutty Kudiye (From ""Premalu"")","Vishnu Vijay;Suhail Koya;Sanjith Hegde",2024-01-05,184836,58,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:10:58Z,"malayalam pop,mollywood,malayalam hip hop,kannada pop,sandalwood","Bhavana Studios",0.814,0.571,0,-8.251,1,0.109,0.354,0.0000584,0.137,0.513,97.994,4
spotify:track:4pvJRYVfnIhG120GB8nWpp,"Kannukulla - From ""Dude""","Kannukulla (From ""Dude"")","Sai Abhyankkar;Jonita Gandhi;Adesh Krishna",2025-10-15,273793,66,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:23:36Z,"tamil indie,tamil pop,kollywood,bollywood,hindi pop,desi","Think Music",0.51,0.533,6,-7.334,1,0.0334,0.522,0.000052,0.116,0.394,86.973,4
spotify:track:3Nt5m3MOIrNt1sf8v14GPM,"Nallaru Po - From ""Dude""","Nallaru Po (From ""Dude"")","Sai Abhyankkar;Tippu;Mohit Chauhan;Vivek",2025-09-19,236071,72,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:23:36Z,"tamil indie,tamil pop,kollywood,kannada pop,tamil dance,sandalwood,telugu pop,tollywood,bollywood,hindi pop,sufi,desi","Think Music",0.542,0.458,10,-8.886,0,0.0353,0.758,0.0000249,0.138,0.437,87.467,4
spotify:track:6EzB9lIW27iSTd0c2V4t3K,"Oorum Blood - From ""Dude""","Oorum Blood (From ""Dude"")","Sai Abhyankkar;Paal Dabba;Bhumi;Deepthi Suresh",2025-08-28,240107,76,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:23:36Z,"tamil indie,tamil pop,kollywood,tamil hip hop,tamil dance,malayalam hip hop","Think Music",0.698,0.631,10,-8.706,0,0.0522,0.356,0,0.16,0.515,129.987,4
spotify:track:09Z6o1yu596HJAwWZxTz4m,"Othaiyadi Pathayila","Kanaa (Original Motion Picture Soundtrack)","Dhibu Ninan Thomas;Anirudh Ravichander;Arunraja Kamaraj",2018-08-23,249671,77,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:23:36Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.713,0.615,11,-7.648,0,0.138,0.341,0.00000155,0.0608,0.807,135.017,3
spotify:track:0pxE2MKJnBMR9c0giy7v5J,"Singari","Dude (Original Motion Picture Soundtrack)","Sai Abhyankkar;Pradeep Ranganathan;Sai Smriti;Semv.iii",2025-10-26,208000,71,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:23:36Z,"tamil indie,tamil pop,kollywood,tamil dance,tamil hip hop","Think Music",0.853,0.761,8,-5.383,0,0.18,0.21,0,0.152,0.86,120.033,4
spotify:track:4WYoahT0BqwCHwssPdnR7y,"Kannukulla (Reprise)","Dude (Original Motion Picture Soundtrack)","Sai Abhyankkar;Adesh Krishna",2025-10-26,274374,66,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-13T08:23:36Z,"tamil indie,tamil pop,kollywood","Think Music",0.497,0.462,6,-7.841,1,0.0322,0.681,0,0.128,0.3,87.052,4
