id,name,album,artists,main_artist,genres,year,release_date,popularity,explicit,record_label,playlists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
1bx6spmieE655BQvWdTYKA,,,,Unknown,,0,0000,0,0,,Folklore,0.703,0.982,4,-3.466,1,0.118,0.394,0.000939,0.109,0.697,110.03,4,0
1oghlB7Tm7Xo3M2BviDnic,Jahan Mein Aesa Kaun Hai,Hum Dono,Asha Bhosle,Asha Bhosle,"ghazal,marathi pop,bangla pop,bollywood,hindi pop",1961,1961-01-01,61,0,Saregama India Ltd,Old_Melodies,0.409,0.257,3,-14.045,1,0.0709,0.985,0.116,0.0956,0.442,173.07,3,164840
1SMNDZ0CR4W27fCU8Remqq,Ehsan Tera Hoga Mujh Par,Junglee,Mohammed Rafi,Mohammed Rafi,ghazal,1961,1961-01-01,62,0,Saregama India Ltd,Old_Melodies,0.604,0.367,8,-9.562,0,0.0412,0.671,5.12e-06,0.106,0.616,89.76,4,206893
5kfrsmxW4UkaQKA1lcnyrJ,Ehsan Tera Hoga Mujh Par - Lata Mangeshkar,Junglee,Lata Mangeshkar,Lata Mangeshkar,"ghazal,bollywood,hindi pop,bhajan,marathi pop",1961,1961-01-01,46,0,Saregama India Ltd,Old_Melodies,0.348,0.21,4,-14.732,1,0.0444,0.986,0.00524,0.101,0.401,175.715,4,210703
2rHxwYzdn66nDMmDmmio6W,Ham Tere Pyar Mein,Dil Ek Mandir,Lata Mangeshkar,Lata Mangeshkar,"ghazal,bollywood,hindi pop,bhajan,marathi pop",1963,1963-01-01,69,0,Saregama India Ltd,Old_Melodies,0.446,0.359,3,-8.081,1,0.0515,0.949,6.69e-05,0.304,0.842,178.417,3,286866
3JlCtKzdOP25gelnwMI9RF,Zindagi Kaisi Hai Paheli,Anand,Manna Dey;Salil Chowdhury,Manna Dey,"bangla pop,ghazal,qawwali,bhajan",1971,1971-05-03,60,0,Saregama India Ltd,Old_Melodies,0.358,0.621,0,-6.486,1,0.0368,0.86,5.12e-06,0.343,0.525,98.135,4,209213
2P7i3LoqblIGiNk1Jmbc30,Kahin Door Jab Din Dhal Jaye,Anand,Mukesh;Salil Chowdhury,Mukesh,"ghazal,tamil dance,bangla pop",1971,1971-05-03,66,0,Saregama India Ltd,Old_Melodies,0.521,0.424,5,-7.392,1,0.0347,0.852,1.08e-06,0.301,0.484,91.351,4,337386
0HI3O9uCBWtu7B3boRpCaL,"Pal Pal Dil Ke Paas - From ""Blackmail""",Blackmail (Original Motion Picture Soundtrack),Kishore Kumar,Kishore Kumar,"ghazal,bangla pop,hindi pop",1973,1973-01-01,64,0,Universal Music India Pvt Ltd.,Old_Melodies,0.508,0.402,1,-10.487,1,0.0371,0.625,9.29e-06,0.112,0.508,120.954,4,329066
747xb33Nv17zfV4L0hOsHf,Yeh Raaten,Julie (Original Motion Picture Soundtrack),Lata Mangeshkar,Lata Mangeshkar,"ghazal,bollywood,hindi pop,bhajan,marathi pop",1975,1975-04-18,43,0,Universal Music India Pvt Ltd.,Old_Melodies,0.272,0.305,0,-13.119,0,0.0363,0.743,0.000105,0.0594,0.354,140.573,3,336614
6MZCYPT3hZPzwJGLnXn1RF,Bade Achhe Lagte Hain,Balika Badhu,Amit Kumar;R. D. Burman,Amit Kumar,"bollywood,ghazal,hindi pop",1976,1976-03-15,67,0,Saregama India Ltd,Old_Melodies,0.378,0.146,6,-15.412,1,0.0403,0.897,1.62e-05,0.122,0.178,138.649,3,312080
5P49QyK81dOSc3W7iWDlAT,Rimjhim Gire Sawan,Manzil,Kishore Kumar;Lata Mangeshkar;R. D. Burman,Kishore Kumar,"ghazal,bangla pop,hindi pop,bollywood,bhajan,marathi pop",1979,1979-05-14,64,0,Saregama India Ltd,Old_Melodies,0.376,0.462,1,-9.545,0,0.0335,0.823,0.004,0.122,0.736,106.954,3,216373
5GpfyJrKHJI36jDKtQiyGN,Golden Brown,Golden Brown,The Stranglers,The Stranglers,"proto-punk,new wave",1981,1981-12-28,79,0,Rhino,Soothing,0.563,0.383,6,-15.474,1,0.0305,0.144,0.116,0.138,0.589,93.751,3,206760
